Topic,Count,Name,Representation,Representative_Docs
0,663,0_president_the_biden_news,"['president', 'the', 'biden', 'news', 'fox', 'and', 'to', 'border', 'former', 'house']","[""Special Counsel Robert Hur released his report on President Biden's handling of classified documents this week. The president will not be charged, but the report is still devastating."", 'Fox News host Sean Hannity unpacks the visits to the southern border by President Biden and former President Trump on Thursday\'s ""Hannity.""', ""Fox News host Sean Hannity reacts to President Biden and the media blaming former President Trump and Republicans for the border crisis in Tuesday's opening monologue.""]"
1,504,1_in_police_of_was,"['in', 'police', 'of', 'was', 'and', 'arrested', 'the', 'after', 'died', 'on']","['A driver involved in fatal crashes during a car rally in New Jersey has been sentenced to 25 years in prison. He pleaded guilty to charges related to the deaths of two people.', 'A murder suspect who fled the U.S. and then escaped police custody in Kenya last week has been re-arrested there Wednesday, authorities announced.', 'Two off-duty police officers in Nebraska were not charged after fatally shooting two men who were in the country illegally. The police officers were working security at a bar.']"
2,492,2_the_bowl_super_to,"['the', 'bowl', 'super', 'to', 'kansas', 'chiefs', 'his', 'on', 'in', 'taylor']","['The Kansas City Chiefs have taken home Super Bowl LVIII for the second year in a row. Check out every team that has won the Super Bowl since its first game in 1967.', ""Taylor Swift's appearance at Super Bowl LVIII in Las Vegas to support the Kansas City Chiefs and boyfriend Travis Kelce on Sunday will likely be a game day decision."", ""Kansas City Chiefs star Travis Kelce is focused on trying to win his third Super Bowl ring Sunday, but he doesn't mind the constant Taylor Swift questions ahead of it.""]"
3,340,3_the_court_to_of,"['the', 'court', 'to', 'of', 'supreme', 'in', 'judge', 'on', 'former', 'and']","[""The U.S. Supreme Court has agreed to review whether former President Donald Trump has immunity from prosecution in the Special Counsel's federal election interference case."", 'Georgia District Attorney Fani Willis faces new allegations that she lied about the timing of her relationship with Trump prosecutor Nathan Wade in court filings.', 'A fourth co-defendant in the Georgia case against former president Donald Trump has filed a motion for the court to disqualify embattled district attorney Fani Willis.']"
4,312,4_the_to_of_in,"['the', 'to', 'of', 'in', 'and', 'on', 'israel', 'us', 'hamas', 'minister']","['The U.S. Central Command says its forces have destroyed a Houthi missile in Yemen that was being prepared to target ships traveling in the Red Sea.', ""Israeli forces rescued two Israeli hostages who were held in the Gaza city of Rafah after Hamas' Oct. 7 attack against the Jewish State, according to officials."", 'The European Union has initiated a naval mission called Aspides in the Red Sea to safeguard cargo ships from attacks by Houthi rebels in Yemen, officials say.']"
5,250,5_her_and_the_she,"['her', 'and', 'the', 'she', 'of', 'to', 'in', 'for', 'with', 'on']","['Jodie Foster revealed she was the primary breadwinner for portions of her childhood in a new interview, and felt some pressure from her mom in her early career.', 'Adele confessed during a recent concert in her Las Vegas residency that she does not like being famous, and that was why she looked upset in viral photos taken of her at an NBA game.', 'Jennifer Lopez and Ben Affleck shared in her new documentary, ""The Greatest Love Story Never Told,"" what led to calling of their wedding and ending their early 2000s relationship.']"
6,170,6_bill_to_would_the,"['bill', 'to', 'would', 'the', 'house', 'state', 'of', 'passed', 'and', 'for']","['Georgia House Bill 915, passed by the Senate Thursday, would increase Peach State spending by $5B this fiscal year for policy items like roadbuilding and paying down debts.', 'The Georgia Senate on Thursday passed a bill that would ban libraries from spending public and private funds on the American Library Association.', ""Georgia's House passed a bill to add $5 billion to the state's budget for projects such as roadbuilding, building a medical school and a dental school, and giving raises to teachers.""]"
7,115,7_people_crashed_in_fire,"['people', 'crashed', 'in', 'fire', 'two', 'were', 'killed', 'on', 'crash', 'injured']","[""One person is dead and five people are injured after a car crashed into a North Austin, Texas, hospital's emergency room on Tuesday evening."", 'Three members of the University of Wyoming swim team were killed in a car crash in Colorado on Thursday, police said. Two others were injured.', 'A helicopter crashed into the North Sea on Wednesday night during a training mission, killing one person and injuring five in Norway. There were six people on board.']"
8,93,8_the_of_oil_coast,"['the', 'of', 'oil', 'coast', 'in', 'gulf', 'mexico', 'spill', 'and', 'that']","['A summary of events on Saturday, June 5, Day 46 of the Gulf of Mexico oil spill that began with the April 20 explosion and fire on the drilling rig Deepwater Horizon, owned by Transocean Ltd. an...', 'A summary of events on Friday, May 28, Day 37 of the Gulf of Mexico oil spill that began with the April 20 explosion and fire on the drilling rig Deepwater Horizon, owned by Transocean Ltd. and ...', 'A summary of events on Sunday, June 13, Day 54 of the Gulf of Mexico oil spill that began with the April 20 explosion and fire on the drilling rig Deepwater Horizon, owned by Transocean Ltd. and...']"
9,49,9_these_you_your_can,"['these', 'you', 'your', 'can', 'the', 'and', 'amazon', 'winter', 'travel', 'bread']","[""Whether you're learning to cook for the first time or are already a home chef, these cooking accessories will make you actually want to cook at home."", ""If you're planning a winter vacation, consider these products that could make your travel a smooth experience. From a practical backpack to comfy socks and more, see these Amazon buys."", 'Book your next vacation to one of these towns, and make sure you have everything you need with these items. Check out this 10 items available on Amazon.']"
